hogar,cluster
ABLD_Consumos_2023-02_2025-06,0
AJVG_Consumos_2023-01_2024-06,0
ATF_Consumos_2024-03_2024-06,1
FJAG_Consumos_2023-01_2024-12,2
FMB_Consumos_2023-03_2025-06,1
GPC_Consumos_2023-01_2024-06,0
JACL_Consumos_2023-01_2024-06,1
JALG_Consumos_2023-01_2024-06,0
JLG_Consumos_2023-01_2024-06,1
JMM_Consumos_2023-01_2024-06,0
LFZA_Consumos_2023-01_2024-06,1
MANA_Consumos_2023-01_2024-06,0
MBGV_Consumos_2023-01_2024-06,0
MTTA_Consumos_2023-02_2025-06,0
PAA_Consumos_2023-01_2024-06,0
RFM_Consumos_2023-01_2024-06,1
RTF_Consumos_2023-01_2024-06,0
